# Router Config Format: 
#name,cost,rel,icon,lifespan,maintenance,sug_maint,max_capacity,target_capacity,power,service_range,router_type
HP 8800 Series,20000,0.78,1,26280,1.80,1.80,100000000000,10000000000,1,1,IP Network
HP 6800 Series,10050,0.98,1,26280,1,1,50000000000,500000000,1,1,IP Network
Cisco Catalyst 6500 Series Switch 1 x 80 Gbps Card,22200,0.98,1,36280,2,2,80000000000,180000000000,1,1,IP Network
Cisco Catalyst 6500 Series Switch 2 x 80 Gbps Card,24200,0.98,1,36280,2,2,160000000000,180000000000,1,1,IP Network
Cisco Catalyst 6500 Series Switch 3 x 80 Gbps Card,27200,0.98,1,36280,2,2,240000000000,180000000000,1,1,IP Network
Cisco Catalyst 6500 Series Switch 1 x 180 Gbps Card,25200,0.98,1,36280,2,2,180000000000,180000000000,1,1,IP Network
Cisco Catalyst 6500 Series Switch 2 x 180 Gbps Cards,32200,0.98,1,36280,2,2,360000000000,360000000000,1,1,IP Network
Cisco 7600 Series,60000,0.98,1,30280,2,2,720000000000,72000000000,1,1,IP Network
Cisco ASR 1000 Series Aggregation Services Router,18600,0.88,3,28000,0.98,0.98,120000000,5200000000,1,1,Multiplexer
Cisco ASR 9000 Series Aggregation Services Router,28600,0.88,3,28000,0.98,0.98,520000000,5200000000,1,1,Multiplexer
Alcatel 7705 Service Aggregation Router SAR-8,14000,0.98,3,30000,1,1,120000000,1000000000,1,1,Multiplexer
Alcatel 7705 Service Aggregation Router SAR-16,23600,0.88,3,30000,2,2,520000000,2000000000,1,1,Multiplexer
#,Femtocelli Dual-Band CDMA2000 Transmitter,12000,0.98,2,30000,0.99,0.99,1000000000,1000000000,1,15,Cellular Base Station
